id,fa,year,title,global_cites,in_corpus_cites,pagerank,venue
https://openalex.org/W4214636184,Ji-ping,2022,Fostering college students’ critical thinking skills through peer assessment in the knowle,49,2,0.00023,Interactive Learning Environments
https://openalex.org/W2806208264,Koch,2018,Group Cognition and Collaborative AI,11,0,0.00018,Human-computer interaction series
https://openalex.org/W2740164982,Tao,2017,Reflective Structuration of Knowledge Building Practices in Grade 5 Science: A Two-Year De,2,1,0.00019,Computer Supported Collaborative Learning
https://openalex.org/W7135369856,Xu,2026,The impact of scripted roles on students’ viewpoint depth and interaction pattern in colla,1,0,0.00018,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W2772372983,Shapiro,2017,Developing &amp; using interaction geography in a museum,51,4,0.00027,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W4411268016,Jiang,2025,Using Epistemic Network Analysis and Sequential Pattern Mining to Explore the Impacts of H,2,1,0.00018,Computer-supported collaborative learning/The Computer-Supported Collaborative Learning Conference
https://openalex.org/W3008118574,Costabal,2020,Physics-Informed Neural Networks for Cardiac Activation Mapping,403,1,0.00025,Frontiers in Physics
https://openalex.org/W3170582127,Pietarinen,2021,Guidance in computer-supported collaborative inquiry learning: Capturing aspects of affect,31,2,0.0002,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W2040023584,Kangas,2007,"THE ARTIFACT PROJECT — HISTORY, SCIENCE, AND DESIGN INQUIRY IN TECHNOLOGY ENHANCED LEARNIN",13,2,0.00028,Research and Practice in Technology Enhanced Learning
https://openalex.org/W1973011444,Miller,2015,Scripting and awareness tools for regulating collaborative learning: Changing the landscap,228,36,0.00086,Computers in Human Behavior
https://openalex.org/W56807283,Law,2008,Fostering Knowledge Exchange in Online Communities: A Social Capital Building Approach,29,0,0.00018,Journal of the Association for Information Systems
https://openalex.org/W2174059832,Wray,2002,The Epistemic Significance of Collaborative Research,209,0,0.00018,Philosophy of Science
https://openalex.org/W4408093464,Feng,2025,Analyzing Students’ Emerging Roles Based on Quantity and Heterogeneity of Individual Contr,4,1,0.00018,Journal of Learning Analytics
https://openalex.org/W3042141735,Zheng,2020,Does collaborative learning design align with enactment? An innovative method of evaluatin,23,4,0.00023,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W4400771969,Liu,2024,An Epistemic Network Analysis of Different Scripted Roles in Online Discussions,1,1,0.00018,
https://openalex.org/W2102187730,Strijbos,2010,Assessment of (Computer-Supported) Collaborative Learning,151,11,0.00044,IEEE Transactions on Learning Technologies
https://openalex.org/W2522271271,Khamesan,2004,Synchronous Collaborative Concept Mapping via ICT: Learning Effectiveness and Personal and,20,0,0.00018,Universidad Pública de Navarra eBooks
https://openalex.org/W2127826661,Becker,2009,Gaining Knowledge. Salafi Activism in German and Dutch Online Forums.,29,0,0.00018,
https://openalex.org/W3042786702,Dupré,2020,Forum: What is the History of Knowledge?,19,0,0.00018,Journal for the History of Knowledge
https://openalex.org/W2161617398,Collis,1998,WWW-Based Environments for Collaborative Group Work,44,1,0.00025,Education and Information Technologies
https://openalex.org/W4406620702,Tohyama,2014,The effect of discourse analysis activity with KBDeX on students’ understanding about coll,0,0,0.00018,International Conference on Computers in Education
https://openalex.org/W4387851253,Espino,2023,"Leveraging Epistemic Network Analysis (ENA) to Identify Focus Areas for Justice, Equity, D",2,0,0.00018,Communications in computer and information science
https://openalex.org/W3151685851,Hevner,2004,Design Science in Information Systems Research1,9869,1,0.0002,MIS Quarterly
https://openalex.org/W4318762016,Chang,2023,Epistemic Network Analysis of Students’ Drawings to Investigate Their Conceptions of Scien,23,8,0.00035,Journal of Science Education and Technology
https://openalex.org/W2030545367,Linder,2003,Using Chat to Support Collaborative Learning: Quality Assurance Strategies to Promote Succ,16,1,0.00021,Educational Media International
https://openalex.org/W1822487496,Goodyear,2013,"Computer-Supported Collaborative Learning: Instructional Approaches, Group Processes and E",101,6,0.00031,
https://openalex.org/W2000468109,Spada,2009,"Of scripts, roles, positions, and models",13,1,0.00019,Computers in Human Behavior
https://openalex.org/W2201936699,Kelly,2015,Theory-led Design of Instruments and Representations in Learning Analytics: Developing a N,18,0,0.00018,Journal of Learning Analytics
https://openalex.org/W2102521965,Thompson,2014,The ENIGMA Consortium: large-scale collaborative analyses of neuroimaging and genetic data,875,0,0.00018,Brain Imaging and Behavior
https://openalex.org/W2092548603,Overdijk,2014,How to bring a technical artifact into use: A micro-developmental perspective,17,10,0.00032,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W1986791900,Siyahhan,2010,Using activity theory to understand intergenerational play: The case of Family Quest,50,3,0.00023,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W2126546743,Capdeferro,2012,Are online learners frustrated with collaborative learning experiences?,247,10,0.00051,The International Review of Research in Open and Distributed Learning
https://openalex.org/W2294206250,Evans,2016,Modeling Collaboration Patterns on an Interactive Tabletop in a Classroom Setting,34,1,0.00019,
https://openalex.org/W2044766160,Yoon,2012,Using augmented reality and knowledge-building scaffolds to improve learning in a science ,226,7,0.00041,International Journal of Computer-Supported Collaborative Learning
